Species,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco_type,AMF,Phenolics,Lignin,NSC,Census,Time,Event,PlantSeason,EMF_log,Synthetic
Acer saccharum,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,22.0,-0.56,13.86,12.15,4.0,14.0,1,Monsoon,3.3575937441800234,0
Quercus alba,0.106,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,15.82,5.19,20.52,19.29,33.0,115.5,0,Summer,3.467921013705064,0
Quercus rubra,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,24.45,3.36,24.74,15.01,18.0,63.0,1,Summer,3.373826184866024,0
Acer saccharum,0.08,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,22.23,-0.71,14.29,12.36,4.0,14.0,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.06,Low,Prunus serotina,Non-Sterile,Heterospecific,AMF,21.15,-0.58,10.85,11.2,4.0,14.0,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,35.29,0.3,10.8,13.79,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,24.0,5.11,18.82,22.51,7.0,24.5,0,Summer,3.044522437723423,0
Quercus rubra,0.108,Med,Sterile,Sterile,Sterilized,EMF,4.0,3.43,25.22,14.81,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.108,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,28.74,3.83,26.65,14.65,33.0,115.5,0,Summer,3.6157709822932977,0
Acer saccharum,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.16,-0.05,13.3,12.16,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,24.45,3.36,24.74,15.01,33.0,115.5,0,Summer,3.373826184866024,0
Quercus alba,0.106,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,19.68,5.1,18.16,22.56,21.0,73.5,1,Summer,3.117064558721516,0
Quercus alba,0.106,Med,Quercus alba,Non-Sterile,Conspecific,EMF,11.14,5.05,21.93,17.75,21.0,73.5,1,Summer,3.518980417318539,0
Quercus alba,0.108,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,11.45,4.79,17.83,23.72,17.0,59.5,1,Summer,3.128513384787809,0
Quercus alba,0.108,Med,Sterile,Sterile,Sterilized,EMF,24.0,3.68,19.77,19.81,7.0,24.5,0,Summer,2.3115448343655176,0
Quercus alba,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,17.54,5.29,20.84,18.65,33.0,115.5,0,Summer,3.5210523434704344,0
Quercus rubra,0.106,Med,Sterile,Sterile,Sterilized,EMF,3.0,3.5,20.44,18.99,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.106,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,41.0,3.98,20.17,21.59,7.0,24.5,0,Monsoon,2.6623552418400807,0
Acer saccharum,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,10.0,-0.1,12.61,11.75,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.108,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,22.98,0.44,13.69,12.31,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.108,Med,Sterile,Sterile,Sterilized,AMF,8.55,0.08,10.61,11.57,7.0,24.5,1,Summer,3.3575937441800234,0
Acer saccharum,0.108,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,12.86,0.04,13.95,12.5,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.108,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,20.45,3.89,24.19,16.19,33.0,115.5,0,Summer,3.3120018028576848,0
Quercus alba,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,9.0,4.77,17.0,25.17,7.0,24.5,0,Summer,3.329343277894172,0
Quercus alba,0.108,Med,Quercus alba,Non-Sterile,Conspecific,EMF,10.68,5.04,21.43,18.21,21.0,73.5,1,Summer,3.3221541743217022,0
Quercus alba,0.108,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,18.04,5.09,18.75,23.07,21.0,73.5,1,Summer,3.279782759771722,0
Quercus alba,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,14.0,5.47,21.72,18.17,7.0,24.5,0,Summer,3.675287500594469,0
Acer saccharum,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.16,-0.05,13.3,12.16,17.0,59.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,5.0,3.77,25.48,12.91,7.0,24.5,0,Summer,2.846071498999585,0
Quercus rubra,0.107,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,19.0,3.69,24.77,14.86,7.0,24.5,0,Summer,4.06285389513073,0
Quercus alba,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,20.19,5.07,18.97,22.48,33.0,115.5,0,Summer,3.2973172511747637,0
Quercus rubra,0.106,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,19.32,3.81,20.97,18.09,33.0,115.5,0,Summer,3.1179499062782403,0
Quercus alba,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,12.15,4.7,17.55,24.42,33.0,115.5,0,Summer,3.12060125559986,0
Quercus alba,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,12.15,4.7,17.55,24.42,33.0,115.5,0,Summer,3.12060125559986,0
Quercus alba,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,18.0,3.56,25.81,10.7,7.0,24.5,0,Summer,0.0,0
Acer saccharum,0.108,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,16.6,-0.05,13.1,12.05,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.108,Med,Sterile,Sterile,Sterilized,AMF,8.55,0.08,10.61,11.57,19.0,66.5,1,Summer,3.3575937441800234,0
Quercus alba,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,10.0,4.88,18.33,22.76,7.0,24.5,0,Monsoon,2.0373166153791646,0
Quercus rubra,0.106,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,24.0,3.71,26.64,14.23,7.0,24.5,0,Summer,4.06285389513073,0
Acer saccharum,0.108,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,16.6,-0.05,13.1,12.05,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,37.91,0.77,7.82,11.52,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.106,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,25.0,4.13,25.28,15.87,7.0,24.5,0,Summer,2.19722457733622,0
Quercus alba,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,14.77,4.16,18.81,24.33,33.0,115.5,0,Summer,3.339321977944068,0
Quercus alba,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,9.0,3.91,21.62,17.61,7.0,24.5,0,Summer,3.234355395716587,0
Quercus alba,0.098,Med,Sterile,Sterile,Sterilized,EMF,2.0,3.72,18.39,23.94,7.0,24.5,0,Summer,2.468946630209271,0
Quercus alba,0.1,Med,Quercus alba,Non-Sterile,Conspecific,EMF,9.0,5.21,23.12,17.33,7.0,24.5,0,Monsoon,3.466672963621067,0
Acer saccharum,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.55,-0.04,13.55,12.15,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.1,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.8,-0.09,13.74,12.22,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,11.0,5.24,20.56,19.48,7.0,24.5,0,Summer,3.713572066704308,0
Quercus alba,0.106,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,15.82,5.19,20.52,19.29,20.0,70.0,1,Summer,3.467921013705064,0
Quercus rubra,0.107,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,37.0,3.6,19.67,19.93,7.0,24.5,0,Summer,1.0986122886681096,0
Quercus rubra,0.108,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,23.71,3.8,23.21,16.91,18.0,63.0,1,Summer,3.2950958507796098,0
Quercus rubra,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,41.0,3.21,25.22,13.47,7.0,24.5,0,Summer,2.6290069937617573,0
Quercus alba,0.107,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,18.0,5.32,21.53,17.89,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.108,Med,Sterile,Sterile,Sterilized,EMF,9.71,3.55,24.69,15.17,33.0,115.5,0,Summer,2.0425181875752383,0
Quercus rubra,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,14.0,3.74,21.23,17.66,7.0,24.5,0,Summer,1.3711807233098423,0
Quercus rubra,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,4.0,3.48,19.52,19.42,7.0,24.5,0,Summer,0.6931471805599453,0
